term,estimate,std.error,tValue,p.value,test
(Intercept),4.109221474785549,0.5364016769769314,7.660717054324704,1.3126330581527618e-12,Shannon Diversity
TNC.Phosphate.Benthic.log,0.7554738887054674,0.5221028795089429,1.4469828042626744,0.14973240561390325,Shannon Diversity
TNC.Ammonia.Benthic.log,-0.40464627285921684,0.1793978080953581,-2.255580919049629,0.025364498723693285,Shannon Diversity
TNC.Silicate.Benthic.log,1.431422662803269,0.20373803943215169,7.025799731816687,4.834798382950489e-11,Shannon Diversity
habPercent,0.31180383500111786,0.1109349085415578,2.8106917750269,0.00552063749717167,Shannon Diversity
(Intercept),0.06887774228041535,0.013044252061262557,5.280313655158596,3.877178785544482e-7,N:C
TNC.Phosphate.Benthic.log,-0.02928215704907788,0.012696532942641305,-2.3063112726415067,0.022293049769209577,N:C
TNC.Ammonia.Benthic.log,0.011363052476919136,0.004362607964282156,2.604646709021645,0.01000670305297421,N:C
TNC.Silicate.Benthic.log,-0.018870090880904647,0.00495451534715231,-3.8086653403446507,1.9454935434540067e-4,N:C
habPercent,-0.0030304035198418346,0.002697722567842425,-1.1233191863259238,0.26287654947001404,N:C
(Intercept),0.006107979589849741,0.0025036316087892287,2.439647897241398,0.015716824054446115,P:C
TNC.Phosphate.Benthic.log,-2.2365752344410465e-4,0.0024566224459370797,-0.09104269311468836,0.9275646081864406,P:C
TNC.Ammonia.Benthic.log,-0.0012540500657872294,8.721977198971633e-4,-1.4378047972139718,0.15230631879232043,P:C
TNC.Silicate.Benthic.log,-0.0014276917879655659,9.99432777571378e-4,-1.4285020663769479,0.15496080358495135,P:C
(Intercept),-0.8196540827798503,0.015526332934598402,-52.79122161250055,3.423510521300839e-108,NOSC
TNC.Ammonia.Benthic.log,0.032839106726121114,0.02426810302293492,1.3531797971636286,0.1777740362224104,NOSC
TNC.Silicate.Benthic.log,-0.06941262434211064,0.025096559880635843,-2.765822274935317,0.006298366799546804,NOSC
habPercent,-0.007448746281028862,0.014612444152937555,-0.5097536184274437,0.610877528202654,NOSC
