term,estimate,std.error,tValue,p.value,test
(Intercept),4.8616753046936525,0.24449817103704735,19.88430131838079,5.581995236572673e-47,Shannon Diversity
TNC.Phosphate.Benthic.log,1.0804879767447317,0.23782494979166766,4.543207000321996,1.02259659111103e-5,Shannon Diversity
TNC.Ammonia.Benthic.log,-0.19810799726249864,0.08064639365367247,-2.456501627503057,0.014994414835566097,Shannon Diversity
TNC.Silicate.Benthic.log,0.24143226532603215,0.09163721822042617,2.6346529283034945,0.009169054549072353,Shannon Diversity
habPercent,0.25186764152780444,0.05027148017149701,5.010149704535827,1.3100527353715433e-6,Shannon Diversity
(Intercept),0.05237946902198062,0.00845937263663941,6.191885766459038,3.6529572284950913e-9,N:C
TNC.Phosphate.Benthic.log,-0.0505410281508322,0.008237754793375374,-6.135291644208227,4.918152184637718e-9,N:C
TNC.Ammonia.Benthic.log,0.002742450981257009,0.0028292562550574552,0.9693186951004253,0.33363158801121007,N:C
TNC.Silicate.Benthic.log,-0.0025380058427692544,0.0027073423494413554,-0.9374528652768858,0.34972839645787646,N:C
habPercent,-0.005937547227722482,0.001731323946721284,-3.4294836844178036,7.432021815853973e-4,N:C
(Intercept),0.008844812632441199,0.0012597063073417401,7.021329162910771,3.8417964826390056e-11,P:C
TNC.Phosphate.Benthic.log,0.006840975515370871,0.0012359005264982353,5.535215309563702,1.0279522311766884e-7,P:C
TNC.Ammonia.Benthic.log,-0.001158637683744797,4.346284498475697e-4,-2.665811877135856,0.008345318822953765,P:C
TNC.Silicate.Benthic.log,6.114313306352414e-4,4.1539493034952114e-4,1.4719277631067176,0.14270355959097136,P:C
(Intercept),-0.7545229434087908,0.0128415462633648,-58.75639334504,2.2979155774689506e-123,NOSC
TNC.Ammonia.Benthic.log,0.05175327561727972,0.019485570979951076,2.6559794255210307,0.008583369048779196,NOSC
TNC.Silicate.Benthic.log,-0.088261899850674,0.017620214675478665,-5.009127384441262,1.2502091020789127e-6,NOSC
habPercent,-0.035737821063039334,0.011956243675522907,-2.9890509120521367,0.003170419634036866,NOSC
