Extraction Vial No. ,Project #,Island,Site,Species,Coral #,Sample name,Methanol control ,Methanol control vial no.,Notes,,,,,,,,,
1,1,Maui,1,M. capitata,1,WM-S01-C01-MC,WM-Methanol-1-ADJ,1,,1,Maui,6,M. capitata,3,WM-S06-C03-MC,WM-Methanol-4,4,MISSING
2,1,Maui,1,M. capitata,2,WM-S01-C02-MC,WM-Methanol-1-ADJ,1,,204,Maui,17,WM-S17-C09-MC,,Was not present,,,
3,1,Maui,1,M. capitata,3,WM-S01-C03-MC,WM-Methanol-1-ADJ,1,,,Vial Label code;,,,,,,,
4,1,Maui,1,M. capitata,4,WM-S01-C04-MC,WM-Methanol-1-ADJ,1,,,ISLAND     SITE      CORAL#       SPECIES.    ,,,,,,,
5,1,Maui,1,M. capitata,5,WM-S01-C05-MC,WM-Methanol-1-ADJ,1,,,XX.             SXX       CXXX               XX,,,,,,,
6,1,Maui,1,M. capitata,6,WM-S01-C06-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
7,1,Maui,1,M. capitata,7,WM-S01-C07-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
8,1,Maui,1,M. capitata,8,WM-S01-C08-MC,WM-Methanol-1-ADJ,1,,,Samples aliquoted: 20.04.2021,,,,,,,
9,1,Maui,1,M. capitata,9,WM-S01-C09-MC,WM-Methanol-1-ADJ,1,,,Run on instrument: IDX1 21.04.2021,,,,,,,
10,1,Maui,1,M. capitata,10,WM-S01-C10-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
11,1,Maui,1,M. capitata,11,WM-S01-C11-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
12,1,Maui,1,M. capitata,12,WM-S01-C12-MC,WM-Methanol-1-ADJ,1,,,Aliquoting notes: ,,,,,,,
13,1,Maui,1,M. capitata,16,WM-S01-C16-MC,WM-Methanol-1-ADJ,1,,,20ul pbQC,,,,,,,
14,1,Maui,2,M. capitata,1,WM-S02-C01-MC,WM-Methanol-1-ADJ,1,,,150ul into the sample vials,,,,,,,
15,1,Maui,2,M. capitata,2,WM-S02-C02-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
16,1,Maui,2,M. capitata,3,WM-S02-C03-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
17,1,Maui,2,M. capitata,4,WM-S02-C04-MC,WM-Methanol-1-ADJ,1,,,Additional pbQCs from this set are stored in 21B (Snijder 1).,,,,,,,
18,1,Maui,2,M. capitata,5,WM-S02-C05-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
19,1,Maui,2,M. capitata,6,WM-S02-C06-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
20,1,Maui,2,M. capitata,7,WM-S02-C07-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
21,1,Maui,2,M. capitata,8,WM-S02-C08-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
22,1,Maui,2,M. capitata,9,WM-S02-C09-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
23,1,Maui,2,M. capitata,10,WM-S02-C10-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
24,1,Maui,2,M. capitata,11,WM-S02-C11-MC,WM-Methanol-1-ADJ,1,,,Preparing the next lot of samples.,,,,,,,
25,1,Maui,2,M. capitata,12,WM-S02-C12-MC,WM-Methanol-1-ADJ,1,,,,,,,,,,
26,1,Maui,3,M. capitata,1,WM-S03-C01-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
27,1,Maui,3,M. capitata,2,WM-S03-C02-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
28,1,Maui,3,M. capitata,3,WM-S03-C03-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
29,1,Maui,3,M. capitata,4,WM-S03-C04-MC,WM-Methanol-2-ADJ,2,,,Batch 1 notes,,,,,,,
30,1,Maui,3,M. capitata,5,WM-S03-C05-MC,WM-Methanol-2-ADJ,2,,,"Tray G2 Inserts crushed (118, 240 & 88)",,,,,,,
31,1,Maui,3,M. capitata,6,WM-S03-C06-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
32,1,Maui,3,M. capitata,7,WM-S03-C07-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
33,1,Maui,3,M. capitata,8,WM-S03-C08-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
34,1,Maui,3,M. capitata,9,WM-S03-C09-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
35,1,Maui,3,M. capitata,10,WM-S03-C10-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
36,1,Maui,3,M. capitata,11,WM-S03-C11-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
37,1,Maui,3,M. capitata,12,WM-S03-C12-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
38,1,Maui,4,M. capitata,1,WM-S04-C01-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
39,1,Maui,4,M. capitata,2,WM-S04-C02-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
40,1,Maui,4,M. capitata,3,WM-S04-C03-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
41,1,Maui,4,M. capitata,4,WM-S04-C04-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
42,1,Maui,4,M. capitata,5,WM-S04-C05-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
43,1,Maui,4,M. capitata,6,WM-S04-C06-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
44,1,Maui,4,M. capitata,7,WM-S04-C07-MC,WM-Methanol-2-ADJ,2,,,,,,,,,,
45,1,Maui,4,M. capitata,8,WM-S04-C08-MC,WM-Methanol-3,3,,,,,,,,,,
46,1,Maui,4,M. capitata,9,WM-S04-C09-MC,WM-Methanol-3,3,,,,,,,,,,
47,1,Maui,4,M. capitata,10,WM-S04-C10-MC,WM-Methanol-3,3,,,,,,,,,,
48,1,Maui,4,M. capitata,11,WM-S04-C11-MC,WM-Methanol-3,3,,,,,,,,,,
49,1,Maui,4,M. capitata,12,WM-S04-C12-MC,WM-Methanol-3,3,,,,,,,,,,
50,1,Maui,5,M. capitata,1,WM-S05-C01-MC,WM-Methanol-3,3,,,,,,,,,,
51,1,Maui,5,M. capitata,2,WM-S05-C02-MC,WM-Methanol-3,3,,,,,,,,,,
52,1,Maui,5,M. capitata,3,WM-S05-C03-MC,WM-Methanol-3,3,,,,,,,,,,
53,1,Maui,5,M. capitata,4,WM-S05-C04-MC,WM-Methanol-3,3,,,,,,,,,,
54,1,Maui,5,M. capitata,5,WM-S05-C05-MC,WM-Methanol-3,3,,,,,,,,,,
55,1,Maui,5,M. capitata,6,WM-S05-C06-MC,WM-Methanol-3,3,,,,,,,,,,
56,1,Maui,5,M. capitata,7,WM-S05-C07-MC,WM-Methanol-3,3,,,,,,,,,,
57,1,Maui,5,M. capitata,8,WM-S05-C08-MC,WM-Methanol-3,3,,,,,,,,,,
58,1,Maui,5,M. capitata,9,WM-S05-C09-MC,WM-Methanol-3,3,,,,,,,,,,
59,1,Maui,5,M. capitata,10,WM-S05-C10-MC,WM-Methanol-3,3,,,,,,,,,,
60,1,Maui,5,M. capitata,11,WM-S05-C11-MC,WM-Methanol-3,3,,,,,,,,,,
61,1,Maui,5,M. capitata,12,WM-S05-C12-MC,WM-Methanol-3,3,,,,,,,,,,
62,1,Maui,5,M. capitata,13,WM-S05-C13-MC,WM-Methanol-3,3,,,,,,,,,,
63,1,Maui,5,M. capitata,14,WM-S05-C14-MC,WM-Methanol-3,3,,,,,,,,,,
64,1,Maui,5,M. capitata,15,WM-S05-C15-MC,WM-Methanol-3,3,,,,,,,,,,
65,1,Maui,6,M. capitata,1,WM-S06-C01-MC,WM-Methanol-3,3,,,,,,,,,,
66,1,Maui,6,M. capitata,2,WM-S06-C02-MC,WM-Methanol-4,4,,,,,,,,,,
67,1,Maui,6,M. capitata,4,WM-S06-C04-MC,WM-Methanol-4,4,,,,,,,,,,
68,1,Maui,6,M. capitata,5,WM-S06-C05-MC,WM-Methanol-4,4,,,,,,,,,,
69,1,Maui,6,M. capitata,6,WM-S06-C06-MC,WM-Methanol-4,4,,,,,,,,,,
70,1,Maui,6,M. capitata,7,WM-S06-C07-MC,WM-Methanol-4,4,,,,,,,,,,
71,1,Maui,6,M. capitata,8,WM-S06-C08-MC,WM-Methanol-4,4,,,,,,,,,,
72,1,Maui,6,M. capitata,9,WM-S06-C09-MC,WM-Methanol-4,4,,,,,,,,,,
73,1,Maui,6,M. capitata,10,WM-S06-C10-MC,WM-Methanol-4,4,,,,,,,,,,
74,1,Maui,6,M. capitata,11,WM-S06-C11-MC,WM-Methanol-4,4,,,,,,,,,,
75,1,Maui,6,M. capitata,12,WM-S06-C12-MC,WM-Methanol-4,4,,,,,,,,,,
76,1,Maui,7,M. capitata,1,WM-S07-C01-MC,WM-Methanol-4,4,,,,,,,,,,
77,1,Maui,7,M. capitata,2,WM-S07-C02-MC,WM-Methanol-4,4,,,,,,,,,,
78,1,Maui,7,M. capitata,3,WM-S07-C03-MC,WM-Methanol-4,4,,,,,,,,,,
79,1,Maui,7,M. capitata,4,WM-S07-C04-MC,WM-Methanol-4,4,,,,,,,,,,
80,1,Maui,7,M. capitata,5,WM-S07-C05-MC,WM-Methanol-4,4,,,,,,,,,,
81,1,Maui,7,M. capitata,6,WM-S07-C06-MC,WM-Methanol-4,4,,,,,,,,,,
82,1,Maui,7,M. capitata,7,WM-S07-C07-MC,WM-Methanol-4,4,,,,,,,,,,
83,1,Maui,7,M. capitata,8,WM-S07-C08-MC,WM-Methanol-4,4,,,,,,,,,,
84,1,Maui,7,M. capitata,9,WM-S07-C09-MC,WM-Methanol-4,4,,,,,,,,,,
85,1,Maui,7,M. capitata,10,WM-S07-C10-MC,WM-Methanol-4,4,,,,,,,,,,
86,1,Maui,7,M. capitata,11,WM-S07-C11-MC,WM-Methanol-4,4,,,,,,,,,,
87,1,Maui,7,M. capitata,12,WM-S07-C12-MC,WM-Methanol-4,4,,,,,,,,,,
88,1,Maui,8,M. capitata,1,WM-S08-C01-MC,WM-Methanol-5,5,,,,,,,,,,
89,1,Maui,8,M. capitata,2,WM-S08-C02-MC,WM-Methanol-5,5,,,,,,,,,,
90,1,Maui,8,M. capitata,3,WM-S08-C03-MC,WM-Methanol-5,5,,,,,,,,,,
91,1,Maui,8,M. capitata,4,WM-S08-C04-MC,WM-Methanol-5,5,,,,,,,,,,
92,1,Maui,8,M. capitata,5,WM-S08-C05-MC,WM-Methanol-5,5,,,,,,,,,,
93,1,Maui,8,M. capitata,6,WM-S08-C06-MC,WM-Methanol-5,5,,,,,,,,,,
94,1,Maui,8,M. capitata,7,WM-S08-C07-MC,WM-Methanol-5,5,,,,,,,,,,
95,1,Maui,8,M. capitata,8,WM-S08-C08-MC,WM-Methanol-5,5,,,,,,,,,,
96,1,Maui,8,M. capitata,9,WM-S08-C09-MC,WM-Methanol-5,5,,,,,,,,,,
97,1,Maui,8,M. capitata,10,WM-S08-C10-MC,WM-Methanol-5,5,,,,,,,,,,
98,1,Maui,8,M. capitata,11,WM-S08-C11-MC,WM-Methanol-5,5,,,,,,,,,,
99,1,Maui,8,M. capitata,12,WM-S08-C12-MC,WM-Methanol-5,5,,,,,,,,,,
100,1,Maui,9,M. capitata,1,WM-S09-C01-MC,WM-Methanol-5,5,,,,,,,,,,
