formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C2H6OS	[M + H]+	C2H7OS+	Fatty acids	0.991	Fatty acyls	0.977	Fatty alcohols	0.151	Organosulfur compounds	0.992	Sulfinyl compounds	0.594					Sulfinyl compounds	0.594	Organic compounds; Organosulfur compounds; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	79.021	68	592790052453352212	592789400796896544	1
1	C4H6O3	[M - H2O + H]+	C4H5O2+	Fatty acids	0.998	Fatty Acids and Conjugates	0.972	Unsaturated fatty acids	0.559	Lipids and lipid-like molecules	0.461	Fatty Acyls	0.532					Fatty Acyls	0.532	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	85.028	141	592790051111173755	592789401530899749	2
1	C7H6O2	[M - H2O + H]+	C7H5O+	Shikimates and Phenylpropanoids	0.978	Phenolic acids (C6-C1)	0.997	Simple phenolic acids	0.996	Benzenoids	0.998	Benzene and substituted derivatives	0.983	Benzoic acids and derivatives	0.956	Benzoic acids	0.927	Benzoic acids	0.927	Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	105.033	225	592790078973944277	592789402101325103	5
3	C8H10O	[M - H2O + H]+	C8H9+	Shikimates and Phenylpropanoids	0.397	Monoterpenoids	0.261	Menthane monoterpenoids	0.126	Benzenoids	0.916	Benzene and substituted derivatives	0.813					Benzene and substituted derivatives	0.813	Organic compounds; Alcohols and polyols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	105.070	172	592790075475892025	592789402256514356	6
3	C5H9N3O	[M - H2O + H]+	C5H8N3+	Alkaloids	0.867	Histidine alkaloids	0.884	Imidazole alkaloids	0.881	Organoheterocyclic compounds	0.999	Azoles	0.962	Imidazoles	0.703			Imidazoles	0.703	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Monoalkylamines; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.071	776	592793589333831022	592789402558504254	8
1	C5H6N2	[M + H3N + H]+	C5H10N3+	Alkaloids	0.956	Nicotinic acid alkaloids	0.979	Pyridine alkaloids	0.979	Organoheterocyclic compounds	0.467	Heteroaromatic compounds	0.682					Heteroaromatic compounds	0.682	Organic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	112.087	46	592790001282828613	592789402692721987	9
2	C5H8O3	[M + H]+	C5H9O3+	Fatty acids	0.986	Fatty esters	0.837	Wax monoesters	0.516	Lipids and lipid-like molecules	0.625	Fatty Acyls	0.671	Fatty acid esters	0.605			Fatty acid esters	0.605	Organic compounds; Lipids and lipid-like molecules; Ketones; 1,3-dicarbonyl compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	117.055	153	592790061383028211	592789402822745416	10
1	C5H8O2	[M + H3N + H]+	C5H12NO2+	Fatty acids	0.987	Fatty esters	0.716	Wax monoesters	0.509	Organic acids and derivatives	0.494	Carboxylic acids and derivatives	0.532	Monocarboxylic acids and derivatives	0.633			Monocarboxylic acids and derivatives	0.633	Organic compounds; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	118.086	55	592790053581620486	592789402994711885	11
2	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.983	Small peptides	0.993	Aminoacids	0.986	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.912	Amino acids and derivatives	0.910	Alpha amino acids and derivatives	0.802	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	48	592790033918710763	592789403107958098	12
2	C5H8O2	[M + H3N + H]+	C5H12NO2+	Fatty acids	0.991	Fatty esters	0.801	Wax monoesters	0.596	Lipids and lipid-like molecules	0.517	Fatty Acyls	0.549					Fatty Acyls	0.549	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	118.086	77	592790047353073090	592789403296701783	13
1	C8H6	[M + H3N + H]+	C8H10N+	Shikimates and Phenylpropanoids	0.508	Phenylpropanoids (C6-C3)	0.622	Cinnamic acids and derivatives	0.557	Benzenoids	0.978	Benzene and substituted derivatives	0.796					Benzene and substituted derivatives	0.796	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	120.081	147	592790074385372172	592789403443502428	14
1	C8H8	[M + H3N + H]+	C8H12N+	Shikimates and Phenylpropanoids	0.420	Phenylpropanoids (C6-C3)	0.414	Cinnamic acids and derivatives	0.357	Benzenoids	0.991	Benzene and substituted derivatives	0.929					Benzene and substituted derivatives	0.929	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	122.096	168	592790074381177862	592789403569331553	15
