formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C2H6OS	[M + H]+	C2H7OS+	28.449	26.405	2.043	4	0.999	-1.009	1.009	-1.294		79.021	68	592790052453352212	592789400796896544	1
1	C4H6O3	[M - H2O + H]+	C4H5O2+	12.236	9.608	2.628	2	0.918	-2.563	2.563	-211819.148		85.028	141	592790051111173755	592789401530899749	2
1	C7H6O2	[M - H2O + H]+	C7H5O+	28.263	25.457	2.806	4	0.389	-2.832	2.832	-171475.510		105.033	225	592790078973944277	592789402101325103	5
1	C8H12O2	[M - H4O2 + H]+	C8H9+	44.295	41.866	2.429	9	0.745	-0.492	0.492	-342830.821		105.070	172	592790075475892023	592789402256514356	6
1	C2H3N2O2	[M + Na]+	C2H3N2NaO2+	25.892	24.144	1.748	3	0.580	-1.464	1.464	-1.118		110.009	42	592790001165388081	592789402424286521	7
1	C5H4N2	[M + H3N + H]+	C5H8N3+	77.447	75.191	2.255	11	0.598	-3.297	3.297	-1.305		110.071	776	592793589333831019	592789402558504254	8
1	C5H6N2	[M + H3N + H]+	C5H10N3+	45.983	43.581	2.402	6	0.146	-4.036	4.036	-1.372		112.087	46	592790001282828613	592789402692721987	9
1	C5H10O4	[M - H2O + H]+	C5H9O3+	45.620	42.894	2.726	6	0.983	-3.732	3.732	-153865.611		117.055	153	592790061383028212	592789402822745416	10
1	C5H8O2	[M + H3N + H]+	C5H12NO2+	34.765	30.140	4.626	3	0.990	-0.361	0.361	-1.398		118.086	55	592790053581620486	592789402994711885	11
1	C5H13NO3	[M - H2O + H]+	C5H12NO2+	20.569	17.984	2.585	3	1.000	-0.588	0.588	-152522.026		118.086	48	592790033918710764	592789403107958098	12
1	C5H13NO3	[M - H2O + H]+	C5H12NO2+	20.641	17.960	2.681	3	1.000	-0.503	0.503	-152521.831		118.086	77	592790047353073092	592789403296701783	13
1	C8H6	[M + H3N + H]+	C8H10N+	68.224	65.227	2.997	6	0.061	-2.391	2.391	-0.881		120.081	147	592790074385372172	592789403443502428	14
1	C8H8	[M + H3N + H]+	C8H12N+	48.150	48.150	0.000	5	0.133	-3.591	4.229	-0.785		122.096	168	592790074381177862	592789403569331553	15
1	C6H6N2	[M + H3N + H]+	C6H10N3+	74.428	74.428	0.000	17	0.743	-3.738	3.738	-1.320		124.087	765	592793471792655131	592789403690966374	16
1	C6H6N2	[M + H3N + H]+	C6H10N3+	74.333	74.333	0.000	17	0.747	-3.720	3.720	-1.481		124.087	744	592793402087516259	592789403909070187	17
1	C6H6N2	[M + H3N + H]+	C6H10N3+	74.724	74.724	0.000	16	0.715	-3.644	3.644	-1.078		124.087	763	592793480374201236	592789404114591088	18
1	C6H6N2	[M + H3N + H]+	C6H10N3+	77.231	77.231	0.000	16	0.719	-3.776	3.776	-1.239		124.087	772	592793470370786019	592789404328500597	19
1	C6H6N2	[M + H3N + H]+	C6H10N3+	74.297	74.297	0.000	16	0.723	-3.773	3.773	-1.400		124.087	744	592793401806497880	592789404521438586	20
1	C6H6N2	[M + H3N + H]+	C6H10N3+	74.234	74.234	0.000	17	0.746	-3.768	3.768	-0.997		124.087	714	592792966236413904	592789404655656319	21
1	C6H6N2	[M + H3N + H]+	C6H10N3+	70.476	70.476	0.000	16	0.746	-3.676	3.676	-1.320		124.087	723	592793723241180667	592789404794068356	22
